["emeril","1. Emery. [Obs.] Drayton. 2. A glazier's diamond. Crabb."]
["axminster carpet","(a) [More fully chenille Axminster.] A variety of Turkey carpet, woven by machine or, when more than 27 inches wide, on a hand loom, and consisting of strips of worsted chenille so colored as to produce a pattern on a stout jute backing. It has a fine soft pile. So called from Axminster, England, where it was formerly (1755 -- 1835) made. (b) A similar but cheaper machine-made carpet, resembling moquette in construction and appearance, but finer and of better material."]
["oblanceolate","Lanceolate in the reversed order, that is, narrowing toward the point of attachment more than toward the apex."]
["luxe","Luxury. [Obs.] Shenstone. Édition de luxe (. Etym: [F.] (Printing) A sumptuous edition as regards paper, illustrations, binding, etc."]
["hygrometrical","1. Of or pertaining to hygrometry; made with, or according to, the hygrometer; as, hygrometric observations. 2. Readily absorbing and retaining moisture; as, hygrometric substances, like potash."]
["belemnite","A conical calcareous fossil, tapering to a point at the lower extremity, with a conical cavity at the other end, where it is ordinarily broken; but when perfect it contains a small chambered cone, called the phragmocone, prolonged, on one side, into a delicate concave blade; the thunderstone. It is the internal shell of a cephalopod related to the sepia, and belonging to an extinct family. The belemnites are found in rocks of the Jurassic and Cretaceous ages. -- Bel*em*nit\"ic, a."]
["ichthyosaurian","Of or pertaining to the Ichthyosauria. -- n.  One of the Ichthyosauria."]
["reredos","(a) A screen or partition wall behind an altar. (b) The back of a fireplace. (c) The open hearth, upon which fires were lighted, immediately under the louver, in the center of ancient halls. [Also spelt reredosse.] Fairholt."]
["skimming","1. The act of one who skims. 2. That which is skimmed from the surface of a liquid; -- chiefly used in the plural; as, the skimmings of broth."]
["trinket","A three-cornered sail formerly carried on a ship's foremast, probably on a lateen yard. Sailing always with the sheets of mainsail and trinket warily in our hands. Hakluyt.\n\n1. A knife; a cutting tool. Tusser. 2. A small ornament, as a jewel, ring, or the like. 3. A thing of little value; a trifle; a toy.\n\nTo give trinkets; hence, to court favor; to intrigue. [Obs.] South."]
["throaty","Guttural; hoarse; having a guttural voice. \"Hard, throaty words.\" Howell."]
["gladen","Sword grass; any plant with sword-shaped leaves, esp. the European Iris foetidissima. [Written also gladwyn, gladdon, and glader.]"]
["reassessment","A renewed or second assessment."]
["inuncted","Anointed. [Obs.] Cockeram."]
["kufic","See Cufic."]
["neurologist","One who is versed in neurology; also, one skilled in the treatment of nervous diseases."]
["surquidry","Overweening pride; arrogance; presumption; insolence. [Obs.] Chaucer. Then pay you the price of your surquedry. Spenser."]
["chupatty","A kind of griddlecake of unleavened bread, used among the natives of India. [Anglo-Indian]"]
["macadamize","To cover, as a road, or street, with small, broken stones, so as to form a smooth, hard, convex surface."]
["plantership","The occupation or position of a planter, or the management of a plantation, as in the United States or the West Indies."]
["passe","Past; gone by; hence, past one's prime; worn; faded; as, a passée belle. Ld. Lytton."]
["sufficiently","To a sufficient degree; to a degree that answers the purpose, or gives content; enough; as, we are sufficiently supplied with food; a man sufficiently qualified for the discharge of his official duties."]
["whirry","To whir. [Obs.]"]
["mule","1. (Zoöl.)  A hybrid animal; specifically, one generated between an ass and a mare, sometimes a horse and a she-ass. See Hinny. Note: Mules are much used as draught animals. They are hardy, and proverbial for stubbornness. 2. (Bot.)  A plant or vegetable produced by impregnating the pistil of one species with the pollen or fecundating dust of another; -- called also hybrid. 3. A very stubborn person. 4. A machine, used in factories, for spinning cotton, wool, etc., into yarn or thread and winding it into cops; -- called also jenny and mule-jenny. Mule armadillo (Zoöl.), a long-eared armadillo (Tatusia hybrida), native of Buenos Ayres; -- called also mulita. See Illust. under Armadillo. -- Mule deer (Zoöl.), a large deer (Cervus, or Cariacus, macrotis) of the Western United States. The name refers to its long ears. -- Mule pulley (Mach.), an idle pulley for guiding a belt which transmits motion between shafts that are not parallel. -- Mule twist, cotton yarn in cops, as spun on a mule; -- in distinction from yarn spun on a throstle frame."]
["unattached","1. Not attached; not adhering; having no engagement; free. 2. (Mil.)  Not assigned to any company or regiment. 3. (Law)  Not taken or arrested. R. Junius."]
["swallow","1. (Zoöl.)  Any one of numerous species of passerine birds of the family Hirundinidæ, especially one of those species in which the tail is deeply forked. They have long, pointed wings, and are noted for the swiftness and gracefulness of their flight. Note: The most common North American species are the barn swallow (see under Barn), the cliff, or eaves, swallow (see under Cliff), the white-bellied, or tree, swallow (Tachycineta bicolor), and the bank swallow (see under Bank). The common European swallow (Chelidon rustica), and the window swallow, or martin (Chelidon urbica), are familiar species. 2. (Zoöl.)  Any one of numerous species of swifts which resemble the true swallows in form and habits, as the common American chimney swallow, or swift. 3. (Naut.)  The aperture in a block through which the rope reeves. Ham. Nav. Encyc. Swallow plover (Zoöl.), any one of several species of fork-tailed ploverlike birds of the genus Glareola, as G. orientalis of India; a pratincole. -- Swallow shrike (Zoöl.), any one of several species of East Indian and Asiatic birds of the family Artamiidæ, allied to the shrikes but similar to swallows in appearance and habits. The ashy swallow shrike (Artamus fuscus) is common in India. -- Swallow warbler (Zoöl.), any one of numerous species of East Indian and Australian singing birds of the genus Dicæum. They are allied to the honeysuckers.\n\n1. To take into the stomach; to receive through the gullet, or esophagus, into the stomach; as, to swallow food or drink. As if I had swallowed snowballs for pills. Shak. 2. To draw into an abyss or gulf; to ingulf; to absorb -- usually followed by up. Milton. The earth opened her mouth, and swallowed them up, and their houses. Num. xvi. 32. 3. To receive or embrace, as opinions or belief, without examination or scruple; to receive implicitly. Though that story . . . be not so readily swallowed. Sir T. Browne. 4. To engross; to appropriate; -- usually with up. Homer excels . . . in this, that he swallowed up the honor of those who succeeded him. Pope. 5. To occupy; to take up; to employ. The necessary provision of the life swallows the greatest part of their time. Locke. 6. To seize and waste; to exhaust; to consume. Corruption swallowed what the liberal hand Of bounty scattered. Thomson. 7. To retract; to recant; as, to swallow one's opinions. \"Swallowed his vows whole.\" Shak. 8. To put up with; to bear patiently or without retaliation; as, to swallow an affront or insult. Syn. -- To absorb; imbibe; ingulf; engross; consume. See Absorb.\n\nTo perform the act of swallowing; as, his cold is so severe he is unable to swallow.\n\n1. The act of swallowing. 2. The gullet, or esophagus; the throat. 3. Taste; relish; inclination; liking. [Colloq.] I have no swallow for it. Massinger. 4. Capacity for swallowing; voracity. There being nothing too gross for the swallow of political rancor. Prof. Wilson. 5. As much as is, or can be, swallowed at once; as, a swallow of water. 6. That which ingulfs; a whirlpool. [Obs.] Fabyan."]
["queasily","In a queasy manner."]
["dipolar","Having two poles, as a magnetic bar. DIPPEL'S OIL Dip\"pel's oil`. (Chem.) Etym: [From the name of the inventor.]  See Bone oil, under Bone."]
["balsamical","Having the qualities of balsam; containing, or resembling, balsam; soft; mitigative; soothing; restorative."]
["cavalierly","In a supercilious, disdainful, or haughty manner; arroganty. Junius."]
["haematosis","Same as Hematosis."]
["lacing","1. The act of securing, fastening, or tightening, with a lace or laces. 2. A lace; specifically (Mach.), a thong of thin leather for uniting the ends of belts. 3. A rope or line passing through eyelet holes in the edge of a sail or an awning to attach it to a yard, gaff, etc. 4. (Bridge Building)  A system of bracing bars, not crossing each other in the middle, connecting the channel bars of a compound strut. Waddell."]
["snigg","A small eel. [Prov. Eng.]"]
["tailzie","An entailment or deed whereby the legal course of succession is cut off, and an arbitrary one substituted. [Written also tailzee.]"]
["militarist","A military man. [Obs.] Shak."]
["navigability","The quality or condition of being navigable; navigableness."]
["excipulum","The outer part of the fructification of most lichens."]
["true-bred","1. Of a genuine or right breed; as, a true-bred beast. Shak. 2. Being of real breeding or education; as, a true-bred gentleman."]
["galvanoglyphy","Same as Glyphography."]
["brochure","A printed and stitched book containing only a few leaves; a pamphlet."]
["mesalliance","A marriage with a person of inferior social position; a misalliance."]
["bestow","1. To lay up in store; to deposit for safe keeping; to stow; to place; to put. \"He bestowed it in a pouch.\" Sir W. Scott. See that the women are bestowed in safety. Byron. 2. To use; to apply; to devote, as time or strength in some occupation. 3. To expend, as money. [Obs.] 4. To give or confer; to impart; -- with on or upon. Empire is on us bestowed. Cowper. Though I bestow all my goods to feed the poor. 1 Cor. xiii. 3. 5. To give in marriage. I could have bestowed her upon a fine gentleman. Tatler. 6. To demean; to conduct; to behave; -- followed by a reflexive pronoun. [Obs.] How might we see Falstaff bestow himself to-night in his true colors, and not ourselves be seen Shak. Syn. -- To give; grant; present; confer; accord."]
["cellarage","1. The space or storerooms of a cellar; a cellar. Sir W. Scott. You hear this fellow in the cellarage. Shak. 2. Chare for storage in a cellar."]
["autotheism","1. The doctrine of God's self-existence. [R.] 2. Deification of one's self; self-worship. [R.]"]
["moire metallique","A crystalline or frosted appearance produced by some acids on tin plate; also, the tin plate thus treated."]
["ribaudry","Ribaldry. [Obs.] Spenser."]
["spur-shell","Any one of several species of handsome gastropod shells of the genus Trochus, or Imperator. The shell is conical, with the margin toothed somewhat like the rowel of a spur."]
["idle-pated","Idle-headed; stupid. [Obs.]"]
["industrial","Consisting in industry; pertaining to industry, or the arts and products of industry; concerning those employed in labor, especially in manual labor, and their wages, duties, and rights. The great ideas of industrial development and economic social amelioration. M. Arnold. Industrial exhibition, a public exhibition of the various industrial products of a country, or of various countries. -- Industrial school, a school for teaching one or more branches of industry; also, a school for educating neglected children, and training them to habits of industry."]
["trochlear","Shaped like, or resembling, a pulley; pertaining to, or connected with, a trochlea; as, a trochlear articular surface; the trochlear muscle of the eye. Trochlear nerve. See Pathetic nerve, under Pathetic."]
["soilless","Destitute of soil or mold."]
["betitle","To furnish with a title or titles; to entitle. [Obs.] Carlyle."]
